species,family,dayTemp,nightTemp,stemLen1,leafNum1,stemLen2,leafNum2,rgrStem,rgrLeaf
bic,248,20,5,0.9,4,2.1,6,0.19047619,0.071428571
bic,248,20,5,0.1,2,0.3,2,0.285714286,0
bic,248,25,10,0.6,4,1.1,4,0.119047619,0
bic,248,30,15,0.5,2,0.8,4,0.085714286,0.142857143
bic,248,30,15,0.6,2,0.9,4,0.071428571,0.142857143
bic,248,35,20,1,4,2.5,6,0.214285714,0.071428571
bic,248,40,25,0.5,2,0.6,4,0.028571429,0.142857143
bic,248,40,25,0.2,2,0.3,2,0.071428571,0
bic,248,45,30,0.5,2,0.5,2,0,0
bic,248,45,30,0.6,2,0.6,2,0,0
bic,248,50,35,0.6,4,1.1,4,0.119047619,0
bic,248,50,35,1,4,0,0,0,0
bic,249,15,0,0.6,2,0.9,2,0.071428571,0
bic,249,15,0,1.1,4,1.3,4,0.025974026,0
bic,249,20,5,0.8,2,0.9,4,0.017857143,0.142857143
bic,249,20,5,0.4,2,0.5,2,0.035714286,0
bic,249,25,10,0.8,4,1.5,6,0.125,0.071428571
bic,249,25,10,0.8,2,0.8,4,0,0.142857143
bic,249,30,15,0.3,2,0.3,2,0,0
bic,249,30,15,0.4,4,1.1,6,0.25,0.071428571
bic,249,35,20,0.7,4,1.6,4,0.183673469,0
bic,249,35,20,0.4,2,0.4,2,0,0
bic,249,40,25,0.6,2,1.3,4,0.166666667,0.142857143
bic,249,40,25,0.8,2,1,4,0.035714286,0.142857143
bic,249,45,30,0.5,2,0.5,2,0,0
bic,249,45,30,0.4,2,0.4,2,0,0
bic,249,50,35,1.1,4,1.7,4,0.077922078,0
bic,249,50,35,1.3,4,1.3,4,0,0
bic,250,15,0,0.7,4,0.7,4,0,0
bic,250,15,0,0.7,4,0.8,4,0.020408163,0
bic,250,20,5,0.7,4,1,6,0.06122449,0.071428571
bic,250,20,5,0.8,4,1.2,4,0.071428571,0
bic,250,25,10,0.6,2,0.6,2,0,0
bic,250,25,10,1.5,4,2.3,6,0.076190476,0.071428571
bic,250,30,15,1.2,4,3.3,6,0.25,0.071428571
bic,250,30,15,0.4,2,0.5,4,0.035714286,0.142857143
bic,250,35,20,2,4,5.1,6,0.221428571,0.071428571
bic,250,35,20,0.6,4,2.6,6,0.476190476,0.071428571
bic,250,40,25,0.8,4,1.5,4,0.125,0
bic,250,40,25,0.6,2,1.3,4,0.166666667,0.142857143
bic,250,45,30,0.5,2,0.8,2,0.085714286,0
bic,250,45,30,0.9,4,1.4,4,0.079365079,0
bic,250,50,35,1.2,4,1.2,4,0,0
bic,250,50,35,0.4,4,0.4,4,0,0
bic,251,15,0,0.5,2,0.7,2,0.057142857,0
bic,251,15,0,1,4,1,4,0,0
bic,251,20,5,1,4,1.2,6,0.028571429,0.071428571
bic,251,20,5,0.6,4,0.8,4,0.047619048,0
bic,251,25,10,0.7,2,0.7,4,0,0.142857143
bic,251,25,10,0.9,4,1.9,8,0.158730159,0.142857143
bic,251,35,20,0.6,2,0.6,4,0,0.142857143
bic,251,35,20,0.4,2,0.4,2,0,0
bic,251,40,25,0.8,2,0.8,4,0,0.142857143
bic,251,40,25,1,4,3.3,4,0.328571429,0
bic,251,45,30,0.8,2,0.8,4,0,0.142857143
bic,251,50,35,0.3,2,0.5,2,0.095238095,0
bic,251,50,35,0.7,2,1.1,4,0.081632653,0.142857143
bic,252,15,0,1.4,4,1.9,4,0.051020408,0
bic,252,15,0,0.7,4,0.8,4,0.020408163,0
bic,252,20,5,0.7,4,1.4,4,0.142857143,0
bic,252,20,5,1,4,1.8,6,0.114285714,0.071428571
bic,252,25,10,0.3,2,0.4,4,0.047619048,0.142857143
bic,252,25,10,0.9,4,3.3,6,0.380952381,0.071428571
bic,252,30,15,1,6,3.7,8,0.385714286,0.047619048
bic,252,30,15,0.9,4,2.6,6,0.26984127,0.071428571
bic,252,35,20,0.7,4,1.1,6,0.081632653,0.071428571
