"","species","family","t.opt","t.pmax","t.cmin","t.cmax","t.cbreadth","t.breadth","t.min","t.max","t.min2","t.max2","family.orig","range","pair"
"17","car",17,34.6018066747831,0.0763779036797023,6.99147619166667,56.3787336333333,49.3872574416667,30.7060951439394,18.2402511602694,48.9463463042088,18.2402511602694,48.9463463042088,17,"widespread","car-par"
"18","car",18,36.601378196187,0.0565473084507089,7.27136291666667,56.25956285,48.9881999333333,27.862062168266,21.3687260238215,49.2307881920875,21.3687260238215,49.2307881920875,18,"widespread","car-par"
"19","car",19,33.4512655516692,0.0715122152452094,7.03801881666667,56.1659881333333,49.1279693166667,28.8189636787037,18.3514446619529,47.1704083406566,18.3514446619529,47.1704083406566,19,"widespread","car-par"
"20","car",20,39.3147680889112,0.0688364503169794,7.230665825,56.8164656166667,49.5857997916667,28.899139772138,22.9247684964646,51.8239082686027,22.9247684964646,50,20,"widespread","car-par"
"21","car",21,34.4092888175944,0.0812654634422721,7.25387588333333,56.1982903583333,48.944414475,28.5912886986532,19.2378756603535,47.8291643590067,19.2378756603535,47.8291643590067,21,"widespread","car-par"
"22","car",22,34.4909499905348,0.078885671139805,7.00226083333333,56.430827425,49.4285665916667,31.3100277709596,17.8429983692761,49.1530261402357,17.8429983692761,49.1530261402357,22,"widespread","car-par"
"23","par",1,38.2203624995567,0.106731547689405,7.50188649166667,56.1307706166667,48.628884125,26.9996052566498,23.1421915829125,50.1417968395623,23.1421915829125,50,24,"restricted","car-par"
"24","par",2,41.2795049357715,0.0768447954511657,7.5435467,56.0915369166667,48.5479902166667,23.5188984358586,27.7155932225589,51.2344916584175,27.7155932225589,50,26,"restricted","car-par"
"25","par",3,36.8491809096223,0.113624608474454,7.45448830833333,56.1592148,48.7047264916667,28.5858613859428,21.1489769795455,49.7348383654882,21.1489769795455,49.7348383654882,27,"restricted","car-par"
"26","par",4,38.9427651659088,0.108413731055639,7.545801175,56.1049488833333,48.5591477083333,25.7196762054714,24.4734936091751,50.1931698146465,24.4734936091751,50,28,"restricted","car-par"
"27","par",5,33.2952426480733,0.13245183232837,7.53277621666667,55.6642221166667,48.1314459,25.8950147897306,19.7494890821549,45.6445038718855,19.7494890821549,45.6445038718855,30,"restricted","car-par"
"28","par",6,36.5915560477072,0.12359247978814,7.54885879166667,55.5945886583333,48.0457298666667,24.0913080233165,23.4444937110269,47.5358017343434,23.4444937110269,47.5358017343434,31,"restricted","car-par"
"29","par",7,37.4985304302169,0.0912999694281821,7.31465471666667,56.0896674583333,48.7750127416667,27.9261208100168,22.0435810112795,49.9697018212963,22.0435810112795,49.9697018212963,33,"restricted","car-par"
"30","par",8,34.3733316948332,0.0982167970352333,7.22127278333333,55.806656075,48.5853832916667,28.131898452862,19.4303406030303,47.5622390558923,19.4303406030303,47.5622390558923,34,"restricted","car-par"
"31","par",9,34.1149346703181,0.133635563604743,7.66618238333333,55.521017275,47.8548348916667,24.0323671923401,21.40524363367,45.4376108260101,21.40524363367,45.4376108260101,35,"restricted","car-par"
"32","par",10,35.6313019212965,0.136696725964166,7.65898959166667,55.400235875,47.7412462833333,22.6003737558081,23.4626043306397,46.0629780864478,23.4626043306397,46.0629780864478,36,"restricted","car-par"
"33","par",11,32.843813828076,0.112991926564589,7.324207975,55.9288470666667,48.6046390916667,28.7975508071549,17.887572974495,46.6851237816498,17.887572974495,46.6851237816498,38,"restricted","car-par"
"34","par",12,41.4456905719793,0.125211752794904,7.58367795833333,56.1303561416667,48.5466781833333,23.7138052037037,27.7027561489057,51.4165613526094,27.7027561489057,50,39,"restricted","car-par"
"35","par",13,38.3731759845287,0.0698849376940475,7.39448635833333,56.228604125,48.8341177666667,27.6595502308923,22.8915542202862,50.5511044511785,22.8915542202862,50,40,"restricted","car-par"
"36","par",14,38.2690881065446,0.11080474453319,7.51400108333333,56.1325846916667,48.6185836083333,26.9301256308081,23.2171875566498,50.1473131874579,23.2171875566498,50,41,"restricted","car-par"
"37","par",15,31.7635162618964,0.135576377483511,7.474638725,55.6334515166667,48.1588127916667,26.2849983837542,18.2918939338384,44.5768923175926,18.2918939338384,44.5768923175926,42,"restricted","car-par"
"38","par",16,38.1035639313445,0.12269160861087,7.4044234,56.2325925,48.8281691,27.9428231037037,22.498727154798,50.4415502585017,22.498727154798,50,43,"restricted","car-par"
