"","species","dayTemp","family","n"
"730","fil",30,259,1
"731","fil",30,260,2
"732","fil",30,261,2
"733","fil",30,262,2
"734","fil",30,263,2
"735","fil",30,264,2
"736","fil",30,265,2
"737","fil",30,266,2
"738","fil",30,267,1
"739","fil",30,268,2
"740","fil",30,269,2
"741","fil",30,270,2
"742","fil",35,259,2
"743","fil",35,260,2
"744","fil",35,261,2
"745","fil",35,262,2
"746","fil",35,263,2
"747","fil",35,264,1
"748","fil",35,265,2
"749","fil",35,266,2
"750","fil",35,267,2
"751","fil",35,268,2
"752","fil",35,269,2
"753","fil",35,270,2
"754","fil",40,259,2
"755","fil",40,260,2
"756","fil",40,262,1
"757","fil",40,263,2
"758","fil",40,264,1
"759","fil",40,265,2
"760","fil",40,266,2
"761","fil",40,267,2
"762","fil",40,268,2
"763","fil",40,269,1
"764","fil",40,270,2
"765","fil",40,271,2
"766","fil",45,260,1
"767","fil",45,261,1
"768","fil",45,262,2
"769","fil",45,263,2
"770","fil",45,264,2
"771","fil",45,265,2
"772","fil",45,266,1
"773","fil",45,267,2
"774","fil",45,268,2
"775","fil",45,269,2
"776","fil",45,270,2
"777","fil",45,271,2
"778","fil",50,259,2
"779","fil",50,260,2
"780","fil",50,261,2
"781","fil",50,262,2
"782","fil",50,263,2
"783","fil",50,264,1
"784","fil",50,265,2
"785","fil",50,266,2
"786","fil",50,267,2
"787","fil",50,268,2
"788","fil",50,269,1
"789","fil",50,270,2
"790","fil",50,271,2
"791","flo",15,150,2
"792","flo",15,152,2
"793","flo",15,155,2
"794","flo",15,159,1
"795","flo",15,161,1
"796","flo",15,162,1
"797","flo",15,163,2
"798","flo",15,164,1
"799","flo",15,168,2
"800","flo",15,171,2
"801","flo",15,172,2
"802","flo",15,175,2
"803","flo",15,177,2
"804","flo",15,181,2
"805","flo",15,184,2
"806","flo",15,188,1
"807","flo",15,191,2
"808","flo",20,150,2
"809","flo",20,152,1
"810","flo",20,155,2
"811","flo",20,159,2
"812","flo",20,161,1
"813","flo",20,162,2
"814","flo",20,163,2
"815","flo",20,164,1
"816","flo",20,168,2
"817","flo",20,171,2
"818","flo",20,172,1
"819","flo",20,175,1
"820","flo",20,177,1
"821","flo",20,181,1
"822","flo",20,183,1
"823","flo",20,184,2
"824","flo",20,188,1
"825","flo",20,191,2
"826","flo",25,150,2
"827","flo",25,152,1
"828","flo",25,155,2
"829","flo",25,159,1
"830","flo",25,162,2
"831","flo",25,163,2
"832","flo",25,164,1
"833","flo",25,168,2
"834","flo",25,171,2
"835","flo",25,175,1
"836","flo",25,177,2
"837","flo",25,183,1
"838","flo",25,184,2
"839","flo",25,188,2
"840","flo",25,191,2
"841","flo",30,150,2
"842","flo",30,152,2
"843","flo",30,155,2
"844","flo",30,159,2
"845","flo",30,161,2
"846","flo",30,162,2
"847","flo",30,163,2
"848","flo",30,164,2
"849","flo",30,168,2
"850","flo",30,171,2
"851","flo",30,172,2
"852","flo",30,175,2
"853","flo",30,177,2
"854","flo",30,181,2
"855","flo",30,183,2
"856","flo",30,184,2
"857","flo",30,188,2
"858","flo",30,191,2
"859","flo",35,150,2
"860","flo",35,152,2
"861","flo",35,155,2
"862","flo",35,159,2
"863","flo",35,161,1
"864","flo",35,162,2
"865","flo",35,163,2
"866","flo",35,164,2
"867","flo",35,168,2
"868","flo",35,171,2
"869","flo",35,172,2
"870","flo",35,175,2
"871","flo",35,177,2
"872","flo",35,181,2
"873","flo",35,183,2
"874","flo",35,184,2
"875","flo",35,191,2
"876","flo",40,150,2
"877","flo",40,152,2
"878","flo",40,155,2
"879","flo",40,159,2
"880","flo",40,161,1
"881","flo",40,162,1
"882","flo",40,163,2
"883","flo",40,164,2
"884","flo",40,168,2
"885","flo",40,171,2
"886","flo",40,172,2
"887","flo",40,175,2
"888","flo",40,177,2
"889","flo",40,181,1
"890","flo",40,183,2
"891","flo",40,184,2
"892","flo",40,188,2
"893","flo",40,191,2
"894","flo",45,150,2
"895","flo",45,152,2
"896","flo",45,155,1
"897","flo",45,159,2
"898","flo",45,161,1
"899","flo",45,162,2
"900","flo",45,163,2
"901","flo",45,168,1
"902","flo",45,171,2
"903","flo",45,172,2
"904","flo",45,177,2
"905","flo",45,181,1
"906","flo",45,184,1
"907","flo",45,188,1
"908","flo",45,191,2
"909","flo",50,150,2
"910","flo",50,152,2
"911","flo",50,155,2
"912","flo",50,159,2
"913","flo",50,161,2
"914","flo",50,162,2
"915","flo",50,163,2
"916","flo",50,164,2
"917","flo",50,168,2
"918","flo",50,171,2
