"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_lik[1241]",-2.14,0,0.45,-3.16,-2.4,-2.1,-1.83,-1.39,10031.17,1
"log_lik[1242]",-0.33,0,0.14,-0.64,-0.41,-0.31,-0.23,-0.11,10401.49,1
"log_lik[1243]",-0.33,0,0.14,-0.64,-0.41,-0.31,-0.23,-0.11,10401.49,1
"log_lik[1244]",-0.07,0,0.07,-0.24,-0.1,-0.05,-0.02,0.04,9772.79,1
"log_lik[1245]",-0.07,0,0.07,-0.24,-0.1,-0.05,-0.02,0.04,9772.79,1
"log_lik[1246]",-0.07,0,0.07,-0.24,-0.1,-0.05,-0.02,0.04,9772.79,1
"log_lik[1247]",-0.07,0,0.07,-0.24,-0.1,-0.05,-0.02,0.04,9772.79,1
"log_lik[1248]",-0.35,0,0.14,-0.68,-0.43,-0.33,-0.24,-0.12,10221.15,1
"log_lik[1249]",-2.85,0.01,0.74,-4.59,-3.28,-2.75,-2.32,-1.71,11549.33,1
"log_lik[1250]",-0.35,0,0.14,-0.68,-0.43,-0.33,-0.24,-0.12,10221.15,1
"log_lik[1251]",-2.85,0.01,0.74,-4.59,-3.28,-2.75,-2.32,-1.71,11549.33,1
"log_lik[1252]",-1.79,0,0.33,-2.51,-1.99,-1.76,-1.56,-1.2,9658.25,1
"log_lik[1253]",-0.68,0,0.23,-1.22,-0.82,-0.66,-0.52,-0.32,11423.09,1
"log_lik[1254]",-0.68,0,0.23,-1.22,-0.82,-0.66,-0.52,-0.32,11423.09,1
"log_lik[1255]",-0.68,0,0.23,-1.22,-0.82,-0.66,-0.52,-0.32,11423.09,1
"log_lik[1256]",-1.77,0,0.3,-2.42,-1.96,-1.74,-1.55,-1.23,11049.76,1
"log_lik[1257]",-1.02,0,0.33,-1.77,-1.22,-0.98,-0.78,-0.49,11890.34,1
"log_lik[1258]",-1.77,0,0.3,-2.42,-1.96,-1.74,-1.55,-1.23,11049.76,1
"log_lik[1259]",-1.02,0,0.33,-1.77,-1.22,-0.98,-0.78,-0.49,11890.34,1
"log_lik[1260]",-1.15,0,0.37,-1.98,-1.37,-1.11,-0.88,-0.54,11758.49,1
"log_lik[1261]",-1.15,0,0.37,-1.98,-1.37,-1.11,-0.88,-0.54,11758.49,1
"log_lik[1262]",-1.8,0,0.3,-2.46,-1.99,-1.78,-1.59,-1.27,11830.47,1
"log_lik[1263]",-2.42,0,0.5,-3.61,-2.7,-2.35,-2.07,-1.66,16265.56,1
"log_lik[1264]",-1.73,0,0.29,-2.34,-1.91,-1.71,-1.53,-1.2,10532.03,1
"log_lik[1265]",-1.73,0,0.29,-2.34,-1.91,-1.71,-1.53,-1.2,10532.03,1
"log_lik[1266]",-3.65,0.01,0.98,-6.01,-4.16,-3.47,-2.94,-2.25,16991.75,1
"log_lik[1267]",-1.73,0,0.29,-2.34,-1.91,-1.71,-1.53,-1.2,10532.03,1
"log_lik[1268]",-0.56,0,0.2,-1.03,-0.67,-0.53,-0.41,-0.25,11315.28,1
"log_lik[1269]",-0.56,0,0.2,-1.03,-0.67,-0.53,-0.41,-0.25,11315.28,1
"log_lik[1270]",-1.97,0,0.4,-2.87,-2.2,-1.93,-1.7,-1.3,11293.61,1
"log_lik[1271]",-1.97,0,0.4,-2.87,-2.2,-1.93,-1.7,-1.3,11293.61,1
"log_lik[1272]",-0.22,0,0.11,-0.49,-0.28,-0.2,-0.14,-0.06,11549.96,1
