"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"stretch[3]",1.18,0,0.29,0.63,1,1.18,1.37,1.78,9309.81,1
"stretch[4]",1.6,0.01,0.38,0.81,1.37,1.62,1.86,2.33,4391.62,1
"stretch[5]",1.33,0,0.33,0.7,1.11,1.32,1.53,2.03,7049.19,1
"stretch[6]",1.08,0,0.26,0.59,0.91,1.07,1.25,1.64,10151.68,1
"stretch[7]",1.24,0,0.24,0.77,1.07,1.23,1.39,1.74,9685.4,1
"stretch[8]",0.75,0,0.17,0.44,0.64,0.74,0.86,1.13,9411.93,1
"stretch[9]",1.08,0,0.25,0.6,0.91,1.08,1.24,1.6,5677.49,1
"stretch[10]",1.45,0,0.25,0.95,1.29,1.45,1.61,1.98,10309.62,1
"stretch[11]",1.25,0,0.28,0.72,1.07,1.24,1.41,1.83,7350.21,1
"stretch[12]",0.92,0,0.25,0.47,0.75,0.9,1.07,1.46,10012.66,1
"stretch[13]",1.32,0,0.33,0.67,1.11,1.32,1.53,1.96,8600.71,1
"stretch[14]",0.85,0,0.17,0.51,0.74,0.84,0.95,1.21,6029.01,1
"stretch[15]",1.15,0,0.21,0.75,1.02,1.14,1.28,1.59,8894.92,1
"stretch[16]",0.93,0,0.2,0.55,0.8,0.92,1.05,1.35,9404.13,1
"stretch[17]",1.25,0,0.31,0.63,1.05,1.26,1.45,1.85,6067,1
"stretch[18]",0.96,0,0.26,0.46,0.79,0.95,1.13,1.5,7873.25,1
"min_max[1,1]",-21.06,0.02,1.26,-23.54,-21.9,-21.07,-20.21,-18.61,2590.94,1
"min_max[1,2]",18.09,0.02,1.11,16.04,17.32,18.03,18.81,20.42,5066.75,1
"min_max[2,1]",-21.41,0.02,1.25,-23.85,-22.24,-21.43,-20.58,-18.9,2638.18,1
"min_max[2,2]",18.13,0.02,1.17,15.9,17.33,18.11,18.92,20.46,5159.44,1
"min_max[3,1]",-21.82,0.02,1.14,-24.09,-22.59,-21.82,-21.04,-19.63,3244.76,1
"min_max[3,2]",18.18,0.02,1.16,15.99,17.39,18.16,18.96,20.51,4542.59,1
"min_max[4,1]",-21.2,0.02,1.24,-23.68,-22.02,-21.19,-20.36,-18.8,2892.47,1
"min_max[4,2]",18.08,0.02,1.14,15.96,17.28,18.04,18.84,20.42,4992.23,1
"min_max[5,1]",-21.14,0.02,1.24,-23.59,-21.97,-21.13,-20.29,-18.71,2796.88,1
"min_max[5,2]",17.75,0.02,1.2,15.41,16.94,17.75,18.57,20.15,5298.04,1
"min_max[6,1]",-21.24,0.02,1.23,-23.72,-22.06,-21.21,-20.39,-18.87,2803.58,1
"min_max[6,2]",18.12,0.02,1.16,15.9,17.34,18.12,18.89,20.44,5386.6,1
"min_max[7,1]",-21.82,0.02,1.07,-24.03,-22.51,-21.78,-21.08,-19.83,2999.27,1
"min_max[7,2]",17.87,0.02,1.21,15.52,17.07,17.85,18.68,20.26,4760.52,1
"min_max[8,1]",-20.98,0.02,1.24,-23.41,-21.82,-20.98,-20.14,-18.58,2741.62,1
"min_max[8,2]",17.85,0.02,1.18,15.57,17.06,17.84,18.62,20.21,4419.7,1
"min_max[9,1]",-21.2,0.02,1.22,-23.63,-22.01,-21.18,-20.36,-18.88,2539.08,1
"min_max[9,2]",17.94,0.02,1.2,15.68,17.11,17.93,18.75,20.33,5147.73,1
"min_max[10,1]",-21.11,0.02,1.25,-23.57,-21.95,-21.1,-20.23,-18.68,2871.97,1
"min_max[10,2]",18.18,0.02,1.14,16.05,17.39,18.13,18.93,20.48,5280.37,1
"min_max[11,1]",-21.94,0.02,1.07,-24.09,-22.66,-21.93,-21.21,-19.91,2989.23,1
"min_max[11,2]",17.84,0.02,1.21,15.49,17.03,17.82,18.65,20.3,5169.59,1
"min_max[12,1]",-21.18,0.02,1.23,-23.67,-22.02,-21.17,-20.33,-18.89,2590.3,1
"min_max[12,2]",17.94,0.02,1.21,15.61,17.12,17.91,18.74,20.35,5233.11,1
"min_max[13,1]",-21.19,0.02,1.23,-23.59,-22.02,-21.17,-20.35,-18.79,2593.42,1
"min_max[13,2]",19.02,0.02,1.12,16.48,18.37,19.06,19.73,21.09,4744.07,1
"min_max[14,1]",-20.96,0.02,1.24,-23.4,-21.8,-20.93,-20.11,-18.56,2815.99,1
"min_max[14,2]",17.7,0.02,1.18,15.38,16.92,17.68,18.49,20.04,4491.52,1
"min_max[15,1]",-21.43,0.02,1.2,-23.8,-22.23,-21.42,-20.63,-19.11,2599.15,1
"min_max[15,2]",18.02,0.02,1.17,15.79,17.21,17.99,18.79,20.35,4444.2,1
"min_max[16,1]",-21.18,0.02,1.23,-23.64,-22.02,-21.16,-20.35,-18.81,2684.71,1
"min_max[16,2]",18.08,0.02,1.19,15.74,17.27,18.06,18.88,20.47,4563.75,1
"min_max[17,1]",-21.23,0.02,1.23,-23.66,-22.07,-21.24,-20.38,-18.82,2640.53,1
"min_max[17,2]",17.88,0.02,1.18,15.57,17.08,17.87,18.67,20.18,4853.86,1
"min_max[18,1]",-21.22,0.02,1.2,-23.6,-22.03,-21.2,-20.41,-18.88,2343.59,1
"min_max[18,2]",18.2,0.02,1.14,16.05,17.39,18.16,18.95,20.54,5232.8,1
"nu[1]",3.31,0.01,0.91,1.82,2.66,3.19,3.87,5.35,8599.29,1
"nu[2]",1.7,0.01,0.58,0.84,1.3,1.6,1.98,3.16,4831.21,1
"nu[3]",2.29,0.01,0.6,1.23,1.86,2.25,2.67,3.55,7476.79,1
"nu[4]",3.14,0.02,1.14,1.34,2.29,3.01,3.88,5.67,5499.2,1
"nu[5]",2.95,0.01,0.95,1.32,2.28,2.88,3.52,5.02,8493.31,1
"nu[6]",2.63,0.01,0.71,1.43,2.14,2.57,3.03,4.21,10143.25,1
"nu[7]",2.59,0.01,0.57,1.55,2.19,2.57,2.97,3.77,9602.84,1
"nu[8]",3.85,0.01,1.2,1.95,2.99,3.71,4.56,6.66,8826.5,1
"nu[9]",2.89,0.01,0.79,1.57,2.33,2.8,3.37,4.64,5664.85,1
"nu[10]",2.87,0.01,0.64,1.7,2.43,2.83,3.29,4.22,11410.43,1
"nu[11]",3.08,0.01,0.8,1.64,2.52,3.04,3.59,4.75,6529.41,1
"nu[12]",2.78,0.01,0.77,1.47,2.24,2.71,3.25,4.49,10909.65,1
"nu[13]",2.2,0.01,0.67,1.08,1.71,2.15,2.62,3.64,6701.54,1
"nu[14]",5.03,0.02,1.86,2.13,3.62,4.76,6.19,9.24,6219.48,1
"nu[15]",3.64,0.01,0.98,1.86,2.95,3.57,4.27,5.67,9495.44,1
"nu[16]",2.92,0.01,0.69,1.7,2.44,2.88,3.35,4.41,10725.48,1
"nu[17]",3.65,0.02,1.51,1.48,2.54,3.39,4.51,7.25,5936.52,1
"nu[18]",2.31,0.01,0.57,1.29,1.91,2.28,2.66,3.5,8596.71,1
"mu_shape1",2.68,0,0.25,2.18,2.51,2.67,2.85,3.18,10720.4,1
"mu_shape2",3.34,0,0.33,2.71,3.11,3.33,3.56,4.02,4588.49,1
"mu_stretch",1.07,0,0.24,0.6,0.91,1.08,1.23,1.55,12219.07,1
"mu_min",-21.12,0.02,0.75,-22.63,-21.62,-21.1,-20.6,-19.7,1277.38,1
"mu_max",17.99,0.01,0.71,16.66,17.5,17.96,18.46,19.44,2294.07,1
"mu_nu",0.72,0,0.14,0.49,0.63,0.71,0.81,1.02,6898.84,1
"mu_beta0",1.55,0.02,0.78,0.03,1.02,1.55,2.07,3.1,1195.24,1
"mu_beta1",0.87,0.02,0.6,-0.24,0.45,0.84,1.24,2.14,1191.21,1
"beta_0[1]",1.58,0.02,1.18,-0.76,0.8,1.58,2.37,3.91,2722.1,1
"beta_0[2]",1.43,0.02,1.15,-0.68,0.63,1.39,2.18,3.82,2665.13,1
"beta_0[3]",1.84,0.02,1.18,-0.41,1.03,1.82,2.62,4.2,2262.07,1
"beta_0[4]",1.5,0.02,1.18,-0.78,0.69,1.48,2.3,3.82,2257.72,1
"beta_0[5]",1.43,0.03,1.31,-1.13,0.55,1.42,2.31,4.01,2554.3,1
"beta_0[6]",1.56,0.03,1.23,-0.83,0.69,1.55,2.4,4,2321.12,1
"beta_0[7]",1.81,0.03,1.24,-0.55,0.95,1.79,2.64,4.25,2263.88,1
"beta_0[8]",1.56,0.02,1.21,-0.79,0.76,1.54,2.37,3.96,2523.29,1
"beta_0[9]",1.58,0.02,1.19,-0.69,0.76,1.56,2.37,3.97,2352.62,1
"beta_0[10]",1.71,0.03,1.25,-0.7,0.85,1.71,2.57,4.18,2201.33,1
"beta_0[11]",1.8,0.02,1.2,-0.52,0.99,1.8,2.63,4.16,2465.11,1
"beta_0[12]",1.55,0.03,1.22,-0.75,0.71,1.53,2.36,3.96,2323.48,1
"beta_0[13]",1.81,0.02,1.18,-0.47,1,1.78,2.59,4.18,2358.92,1
"beta_0[14]",1.47,0.02,1.14,-0.78,0.72,1.45,2.21,3.77,2385.79,1
"beta_0[15]",1.92,0.02,1.2,-0.34,1.11,1.9,2.73,4.33,2393.41,1
"beta_0[16]",1.77,0.02,1.19,-0.52,0.97,1.76,2.56,4.1,2342.69,1
"beta_0[17]",1.39,0.02,1.21,-0.92,0.57,1.37,2.19,3.8,2541.12,1
"beta_0[18]",1.65,0.02,1.22,-0.68,0.81,1.62,2.47,4.13,2493.86,1
"beta_1[1]",0.68,0.02,1.05,-1.09,-0.07,0.55,1.33,3.02,2622.13,1
"beta_1[2]",0.62,0.02,1.13,-1.28,-0.21,0.49,1.35,3.05,2908.13,1
"beta_1[3]",1.28,0.02,1,-0.54,0.58,1.24,1.93,3.37,2826.94,1
"beta_1[4]",-0.04,0.02,0.89,-1.31,-0.6,-0.19,0.3,2.42,1967.61,1
