"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[40]",0.77,0,0.35,0.25,0.52,0.71,0.96,1.61,10368.52,1
"mu[41]",1.83,0.01,0.56,0.91,1.43,1.76,2.15,3.1,11566.86,1
"mu[42]",2.8,0.01,0.74,1.62,2.3,2.72,3.22,4.55,9618.26,1
"mu[43]",2.8,0.01,0.74,1.62,2.3,2.72,3.22,4.55,9618.26,1
"mu[44]",2.1,0.01,0.9,0.69,1.43,2,2.64,4.13,8469,1
"mu[45]",2.1,0.01,0.9,0.69,1.43,2,2.64,4.13,8469,1
"mu[46]",0.23,0,0.28,0,0,0.13,0.35,0.95,6440.95,1
"mu[47]",0.23,0,0.28,0,0,0.13,0.35,0.95,6440.95,1
"mu[48]",0,0,0,0,0,0,0,0,7959.78,1
"mu[49]",0,0,0,0,0,0,0,0,7959.78,1
"mu[50]",0.02,0,0.02,0,0,0.01,0.02,0.06,4997.75,1
"mu[51]",0.02,0,0.02,0,0,0.01,0.02,0.06,4997.75,1
"mu[52]",0.23,0,0.12,0.07,0.14,0.2,0.28,0.52,6834.67,1
"mu[53]",0.23,0,0.12,0.07,0.14,0.2,0.28,0.52,6834.67,1
"mu[54]",1.17,0,0.33,0.64,0.94,1.14,1.36,1.94,9964,1
"mu[55]",1.17,0,0.33,0.64,0.94,1.14,1.36,1.94,9964,1
"mu[56]",3.55,0.01,0.59,2.48,3.16,3.52,3.91,4.82,11919.36,1
"mu[57]",3.55,0.01,0.59,2.48,3.16,3.52,3.91,4.82,11919.36,1
"mu[58]",6.43,0.01,0.97,4.65,5.78,6.37,7.01,8.52,9213.65,1
"mu[59]",6.43,0.01,0.97,4.65,5.78,6.37,7.01,8.52,9213.65,1
"mu[60]",4.72,0.01,0.98,3.08,4.04,4.63,5.28,6.97,10427.84,1
"mu[61]",4.72,0.01,0.98,3.08,4.04,4.63,5.28,6.97,10427.84,1
"mu[62]",0.09,0,0.14,0,0,0.03,0.11,0.47,8986.05,1
"mu[63]",0.09,0,0.14,0,0,0.03,0.11,0.47,8986.05,1
"mu[64]",0,0,0.01,0,0,0,0,0.01,6468.34,1
