"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_lik[134]",-2.68,0.01,1.03,-5.32,-3.17,-2.43,-1.95,-1.43,15293.8,1
"log_lik[135]",-1.44,0,0.35,-2.29,-1.61,-1.4,-1.21,-0.91,7205.07,1
"log_lik[136]",-1.48,0.01,0.77,-3.23,-1.94,-1.39,-0.93,-0.22,11261.42,1
"log_lik[137]",-1.15,0.01,0.79,-3,-1.59,-1.04,-0.59,0.04,8363.38,1
"log_lik[138]",0.06,0,0.25,-0.49,-0.09,0.08,0.23,0.52,9151.99,1
"log_lik[139]",0.01,0,0.22,-0.44,-0.13,0.02,0.15,0.42,9034.29,1
"log_lik[140]",-0.06,0,0.19,-0.46,-0.17,-0.04,0.07,0.27,9001.07,1
"log_lik[141]",-0.07,0,0.22,-0.54,-0.21,-0.07,0.07,0.34,10365.94,1
"log_lik[142]",-0.45,0,0.21,-0.79,-0.59,-0.48,-0.32,0.02,7243.08,1
"log_lik[143]",-0.97,0,0.43,-2,-1.19,-0.89,-0.66,-0.31,10048.16,1
"log_lik[144]",-0.81,0,0.36,-1.64,-1,-0.76,-0.56,-0.23,9288.27,1
"log_lik[145]",-0.98,0,0.26,-1.54,-1.12,-0.96,-0.81,-0.52,8756.85,1
"log_lik[146]",-1.38,0,0.46,-2.47,-1.62,-1.31,-1.05,-0.69,12672.65,1
"log_lik[147]",-1.72,0,0.39,-2.73,-1.88,-1.65,-1.47,-1.18,10385.62,1
"log_lik[148]",-3.01,0.01,0.92,-4.98,-3.56,-2.96,-2.43,-1.22,10870.29,1
"log_lik[149]",-1.49,0,0.28,-2.13,-1.64,-1.46,-1.31,-1.01,7555.29,1
"log_lik[150]",-1.47,0,0.27,-2.1,-1.62,-1.44,-1.29,-0.99,7456.26,1
"log_lik[151]",-0.96,0,0.38,-1.96,-1.13,-0.89,-0.71,-0.44,8740.35,1
"log_lik[152]",-1.04,0,0.35,-1.91,-1.2,-0.98,-0.81,-0.52,9082.09,1
"log_lik[153]",-0.02,0,0.29,-0.73,-0.14,0.02,0.16,0.41,8852.12,1
"log_lik[154]",-2.95,0.01,1.28,-5.99,-3.63,-2.8,-2.1,-0.74,10709.48,1
"log_lik[155]",0.92,0,0.1,0.67,0.88,0.95,0.99,1.03,9417.79,1
"log_lik[156]",1.25,0,0.2,0.83,1.12,1.26,1.39,1.61,13875.1,1
"log_lik[157]",1.25,0,0.2,0.82,1.12,1.26,1.39,1.61,13720.01,1
"log_lik[158]",1.25,0,0.2,0.82,1.12,1.26,1.39,1.61,13720.01,1
"log_lik[159]",1.19,0,0.21,0.75,1.06,1.21,1.34,1.56,11545.03,1
"log_lik[160]",0.09,0,0.35,-0.75,-0.08,0.16,0.33,0.64,10748.75,1
"log_lik[161]",0.67,0,0.35,-0.2,0.49,0.72,0.91,1.19,9234.39,1
"log_lik[162]",0.67,0,0.35,-0.2,0.49,0.72,0.91,1.19,9234.39,1
"log_lik[163]",0.69,0,0.31,-0.07,0.54,0.74,0.9,1.16,9323.42,1
"log_lik[164]",0.57,0,0.42,-0.44,0.35,0.64,0.87,1.19,13252.8,1
"log_lik[165]",0.63,0,0.34,-0.23,0.47,0.68,0.85,1.11,8280.41,1
"log_lik[166]",-0.06,0.01,0.7,-1.86,-0.38,0.12,0.44,0.82,10940.54,1
"log_lik[167]",0.63,0,0.43,-0.52,0.46,0.72,0.91,1.19,9281.81,1
"log_lik[168]",0.65,0,0.37,-0.28,0.49,0.72,0.9,1.16,7908.59,1
"log_lik[169]",-0.8,0.01,0.8,-2.63,-1.25,-0.71,-0.28,0.68,9962.96,1
"log_lik[170]",1.18,0,0.27,0.59,1.05,1.21,1.35,1.58,8843.46,1
"lp__",-98.87,0.18,9.32,-118.19,-104.8,-98.46,-92.41,-81.87,2627.44,1
